Internal ID Number,Name,Constellation,Bayer,HIP,TYC,HD,_RAJ2000,_DEJ2000,V,B-V
Str_Scl_00003007,,Sculptor,,2661.0,6423  1971 1,3059.0,8.420994523400001,-29.5582683961,5.55,1.256
Str_Pup_00003008,,Puppis,,36258.0,6550  4528 1,59256.0,111.996504678,-29.15590187,5.55,-0.052000000000000005
Str_PsA_00003009,,Pisces Austrinus,,113669.0,6977  1089 1,217484.0,345.3307840595,-28.8539493002,5.55,1.337
Str_Vel_00003010,,Vela,,44299.0,7685  2721 1,77475.0,135.33692610100002,-41.8642614964,5.55,-0.129
Str_Vel_00003011,,Vela,O Vel,47717.0,8585   547 1,84461.0,145.9259758222,-53.89127909770001,5.55,-0.035
Str_Car_00003012,,Carina,,48310.0,8946  3220 1,85656.0,147.7315857169,-62.7451116353,5.55,1.3119999999999998
Str_Dor_00003013,,Dorado,pi.01 Dor,30321.0,9168   305 1,45669.0,95.65947991729999,-69.9840497391,5.55,1.503
Str_Mus_00003014,,Musca,,62608.0,9249  1876 1,111315.0,192.43738819150002,-71.9862697464,5.55,1.153
Str_Gem_00003015,,Gemini,,31277.0,745   874 1,46374.0,98.4006860407,14.1551632625,5.56,1.115
Str_Peg_00003016,,Pegasus,Peg,729.0,1181  1782 1,448.0,2.2601040904,18.2119627135,5.56,1.045
Str_Psc_00003017,,Pisces,psi03 Psc,5454.0,1199  1947 1,6903.0,17.4550086698,19.6584115731,5.56,0.698
Str_Her_00003018,,Hercules,Her,86667.0,2080  3223 1,161074.0,265.61817248020003,24.5640537563,5.56,1.436
Str_Tri_00003019,,Triangulum,Tri,11432.0,2323  1924 1,15176.0,36.8657143389,31.8013009725,5.56,1.112
Str_Her_00003020,,Hercules,,89008.0,2634  1057 1,166640.0,272.49581124419996,36.4662812764,5.56,0.928
Str_Peg_00003021,,Pegasus,Peg,115591.0,2769   507 1,220599.0,351.2117966965,32.3848783758,5.56,-0.078
Str_Her_00003022,,Hercules,,84949.0,3090  1896 1,157482.0,260.4317447363,39.9746583,5.56,0.665
Str_Cyg_00003023,,Cygnus,,103519.0,3179   564 1,199870.0,314.5811219826,44.4717191322,5.56,0.973
Str_And_00003024,,Andromeda,And,116354.0,3235  1512 1,221756.0,353.6564150664,40.2364397622,5.56,0.093
Str_UMa_00003025,,Ursa Major,UMa,53064.0,3829   470 1,93875.0,162.848837583,59.3201144135,5.56,1.158
Str_Cas_00003026,,Cassiopeia,,4440.0,4017  1864 1,5408.0,14.195720766800001,60.36284419720001,5.56,-0.058
Str_Cas_00003027,,Cassiopeia,,5566.0,4038  1991 1,6960.0,17.8565393983,64.2026824934,5.56,-0.055
Str_Cam_00003028,,Camelopardalis,,40793.0,4540  3438 1,68375.0,124.88455955639999,75.75690399369998,5.56,0.901
Str_UMi_00003029,,Ursa Minor,,80480.0,4575  1159 1,149681.0,246.4299684539,78.9638653943,5.56,0.244
Str_Cep_00003030,,Cepheus,,115746.0,4658   709 1,221525.0,351.75360563739997,87.3075052025,5.56,0.242
Str_Eri_00003031,,Eridanus,Eri,17506.0,4717  1349 1,23413.0,56.23540528,-0.2967027281,5.56,1.422
