Internal ID Number,MAIN_ID,OTYPE_3,Constellation,RAJ2000,DEJ2000,V,B-V
GlC_Sgr_70,M  70,GlC,Sagittarius,280.80317000,-32.29211000,9.0600004196167,0.6999998092651367
GlC_Sge_71,M  71,GlC,Sagitta,298.44371000,18.77919000,6.099999904632568,1.809999942779541
GlC_Aqr_72,M  72,GlC,Aquarius,313.36542000,-12.53731000,8.960000038146973,0.9899997711181641
Cl*_Aqr_73,M  73,Cl*,Aquarius,314.75000000,-12.63000000,8.899999618530273,
G_Psc_74,M  74,G,Pisces,24.17405000,15.78346100,9.460000038146973,0.5399999618530273
GlC_Sgr_75,M  75,GlC,Sagittarius,301.52017100,-21.92226100,8.260000228881836,
PN_Per_76,M  76,PN,Perseus,25.58191863,51.57543143,17.479999542236328,
GiP_Cet_77,M  77,GiP,Cetus,40.66987900,-0.01328900,8.869999885559082,0.7399997711181641
RNe_Ori_78,M  78,RNe,Orion,86.69080000,0.07920000,,
GlC_Lep_79,M  79,GlC,Lepus,81.04413000,-24.52425000,8.15999984741211,1.0500001907348633
GlC_Sco_80,M  80,GlC,Scorpius,244.26004000,-22.97608000,,
Sy2_UMa_81,M  81,Sy2,Ursa Major,148.88822109,69.06529470,6.940000057220459,0.9499998092651367
IG_UMa_82,M  82,IG,Ursa Major,148.96845800,69.67970300,8.40999984741211,0.8900003433227539
SBG_Hya_83,M  83,SBG,Hydra,204.25382900,-29.86576100,7.519999980926514,0.5899996757507324
Sy2_Vir_84,M  84,Sy2,Virgo,186.26559721,12.88698314,10.489999771118164,1.6000003814697266
GiP_Com_85,M  85,GiP,Coma Berenices,186.35022100,18.19108100,,
GiG_Vir_86,M  86,GiG,Virgo,186.54922500,12.94596900,8.899999618530273,0.9300003051757812
BiC_Vir_87,M  87,BiC,Virgo,187.70593076,12.39112329,8.630000114440918,0.9600000381469727
Sy2_Com_88,M  88,Sy2,Coma Berenices,187.99673300,14.42041100,13.180000305175781,1.1499996185302734
LIN_Vir_89,M  89,LIN,Virgo,188.91590000,12.55630000,9.75,0.9799995422363281
Sy2_Vir_90,M  90,Sy2,Virgo,189.20756700,13.16286900,9.539999961853027,0.7200002670288086
LIN_Com_91,M  91,LIN,Coma Berenices,188.86012500,14.49631900,13.569999694824219,1.0600004196166992
GlC_Her_92,M  92,GlC,Hercules,259.28079000,43.13594000,6.519999980926514,
OpC_Pup_93,NGC  2447,OpC,Puppis,116.12500000,-23.85700000,,
SyG_CVn_94,M  94,SyG,Canes Venatici,192.72145000,41.12015300,8.239999771118164,0.7200002670288086
GiP_Leo_95,M  95,GiP,Leo,160.99055400,11.70361100,9.729999542236328,0.7800006866455078
GiP_Leo_96,M  96,GiP,Leo,161.69060000,11.81993900,9.25,0.8999996185302734
PN_UMa_97,M  97,PN,Ursa Major,168.69880209,55.01902370,15.777000427246094,-0.36300086975097656
LIN_Com_98,M  98,LIN,Coma Berenices,183.45121700,14.90046900,10.140000343322754,0.8099994659423828
